username, test-sequence, test-image, modality, time-milliseconds
akovacevic, data/test-sequence-2.txt, data/pictures/3.png, multi-hand-zoom,106590
akovacevic, data/test-sequence-2.txt, data/pictures/4.png, multi-hand-zoom,90672
akovacevic, data/test-sequence-2.txt, data/pictures/5.png, multi-hand-zoom,106180
akovacevic, data/test-sequence-2.txt, data/pictures/6.png, multi-hand-zoom,104285
akovacevic, data/test-sequence-2.txt, data/pictures/1.png, multi-hand-zoom,43093
akovacevic, data/test-sequence-2.txt, data/pictures/2.png, multi-hand-zoom,42563
akovacevic, data/test-sequence-2.txt, data/pictures/1.png, single-hand-zoom,32390
akovacevic, data/test-sequence-2.txt, data/pictures/2.png, single-hand-zoom,28650
akovacevic, data/test-sequence-2.txt, data/pictures/5.png, single-hand-zoom,68379
akovacevic, data/test-sequence-2.txt, data/pictures/6.png, single-hand-zoom,78376
akovacevic, data/test-sequence-2.txt, data/pictures/3.png, single-hand-zoom,60441
akovacevic, data/test-sequence-2.txt, data/pictures/4.png, single-hand-zoom,60244
