username, test-sequence, test-image, modality, time-milliseconds
avucemil, data/test-sequence-5.txt, data/pictures/3.png, single-hand-zoom,74628
avucemil, data/test-sequence-5.txt, data/pictures/4.png, single-hand-zoom,66085
avucemil, data/test-sequence-5.txt, data/pictures/5.png, single-hand-zoom,119193
avucemil, data/test-sequence-5.txt, data/pictures/6.png, single-hand-zoom,87547
avucemil, data/test-sequence-5.txt, data/pictures/1.png, single-hand-zoom,42333
avucemil, data/test-sequence-5.txt, data/pictures/2.png, single-hand-zoom,33759
avucemil, data/test-sequence-5.txt, data/pictures/1.png, multi-hand-zoom,36000
avucemil, data/test-sequence-5.txt, data/pictures/2.png, multi-hand-zoom,41504
avucemil, data/test-sequence-5.txt, data/pictures/5.png, multi-hand-zoom,96924
avucemil, data/test-sequence-5.txt, data/pictures/6.png, multi-hand-zoom,79454
avucemil, data/test-sequence-5.txt, data/pictures/3.png, multi-hand-zoom,62748
avucemil, data/test-sequence-5.txt, data/pictures/4.png, multi-hand-zoom,72295
