username, test-sequence, test-image, modality, time-milliseconds
bbres, data/test-sequence-5.txt, data/pictures/3.png, single-hand-zoom,91692
bbres, data/test-sequence-5.txt, data/pictures/4.png, single-hand-zoom,89368
bbres, data/test-sequence-5.txt, data/pictures/5.png, single-hand-zoom,118019
bbres, data/test-sequence-5.txt, data/pictures/6.png, single-hand-zoom,90635
bbres, data/test-sequence-5.txt, data/pictures/1.png, single-hand-zoom,47647
bbres, data/test-sequence-5.txt, data/pictures/2.png, single-hand-zoom,37117
bbres, data/test-sequence-5.txt, data/pictures/1.png, multi-hand-zoom,34797
bbres, data/test-sequence-5.txt, data/pictures/2.png, multi-hand-zoom,34304
bbres, data/test-sequence-5.txt, data/pictures/5.png, multi-hand-zoom,81384
bbres, data/test-sequence-5.txt, data/pictures/6.png, multi-hand-zoom,75396
bbres, data/test-sequence-5.txt, data/pictures/3.png, multi-hand-zoom,58698
bbres, data/test-sequence-5.txt, data/pictures/4.png, multi-hand-zoom,56679
