username, test-sequence, test-image, modality, time-milliseconds
mmaricevic, data/test-sequence-1.txt, data/pictures/1.png, multi-hand-zoom,40461
mmaricevic, data/test-sequence-1.txt, data/pictures/2.png, multi-hand-zoom,53767
mmaricevic, data/test-sequence-1.txt, data/pictures/3.png, multi-hand-zoom,61497
mmaricevic, data/test-sequence-1.txt, data/pictures/4.png, multi-hand-zoom,62675
mmaricevic, data/test-sequence-1.txt, data/pictures/5.png, single-hand-zoom,78280
mmaricevic, data/test-sequence-1.txt, data/pictures/6.png, single-hand-zoom,69771
mmaricevic, data/test-sequence-1.txt, data/pictures/5.png, multi-hand-zoom,83544
mmaricevic, data/test-sequence-1.txt, data/pictures/6.png, multi-hand-zoom,84923
mmaricevic, data/test-sequence-1.txt, data/pictures/3.png, single-hand-zoom,55142
mmaricevic, data/test-sequence-1.txt, data/pictures/4.png, single-hand-zoom,51288
mmaricevic, data/test-sequence-1.txt, data/pictures/1.png, single-hand-zoom,27861
mmaricevic, data/test-sequence-1.txt, data/pictures/2.png, single-hand-zoom,29045
akovacevic, data/test-sequence-2.txt, data/pictures/3.png, multi-hand-zoom,106590
akovacevic, data/test-sequence-2.txt, data/pictures/4.png, multi-hand-zoom,90672
akovacevic, data/test-sequence-2.txt, data/pictures/5.png, multi-hand-zoom,106180
akovacevic, data/test-sequence-2.txt, data/pictures/6.png, multi-hand-zoom,104285
akovacevic, data/test-sequence-2.txt, data/pictures/1.png, multi-hand-zoom,43093
akovacevic, data/test-sequence-2.txt, data/pictures/2.png, multi-hand-zoom,42563
akovacevic, data/test-sequence-2.txt, data/pictures/1.png, single-hand-zoom,32390
akovacevic, data/test-sequence-2.txt, data/pictures/2.png, single-hand-zoom,28650
akovacevic, data/test-sequence-2.txt, data/pictures/5.png, single-hand-zoom,68379
akovacevic, data/test-sequence-2.txt, data/pictures/6.png, single-hand-zoom,78376
akovacevic, data/test-sequence-2.txt, data/pictures/3.png, single-hand-zoom,60441
akovacevic, data/test-sequence-2.txt, data/pictures/4.png, single-hand-zoom,60244
dvucemil, data/test-sequence-3.txt, data/pictures/5.png, multi-hand-zoom,137712
dvucemil, data/test-sequence-3.txt, data/pictures/6.png, multi-hand-zoom,120795
dvucemil, data/test-sequence-3.txt, data/pictures/1.png, single-hand-zoom,46752
dvucemil, data/test-sequence-3.txt, data/pictures/2.png, single-hand-zoom,35475
dvucemil, data/test-sequence-3.txt, data/pictures/3.png, multi-hand-zoom,73281
dvucemil, data/test-sequence-3.txt, data/pictures/4.png, multi-hand-zoom,72496
dvucemil, data/test-sequence-3.txt, data/pictures/3.png, single-hand-zoom,69377
dvucemil, data/test-sequence-3.txt, data/pictures/4.png, single-hand-zoom,67153
dvucemil, data/test-sequence-3.txt, data/pictures/1.png, multi-hand-zoom,41875
dvucemil, data/test-sequence-3.txt, data/pictures/2.png, multi-hand-zoom,34392
dvucemil, data/test-sequence-3.txt, data/pictures/5.png, single-hand-zoom,93665
dvucemil, data/test-sequence-3.txt, data/pictures/6.png, single-hand-zoom,70347
acicak, data/test-sequence-4.txt, data/pictures/1.png, single-hand-zoom,49492
