username, test-sequence, test-image, modality, time-milliseconds
dbarac, data/test-sequence-4.txt, data/pictures/1.png, single-hand-zoom,29615
dbarac, data/test-sequence-4.txt, data/pictures/2.png, single-hand-zoom,39130
dbarac, data/test-sequence-4.txt, data/pictures/3.png, single-hand-zoom,96188
dbarac, data/test-sequence-4.txt, data/pictures/4.png, single-hand-zoom,63717
dbarac, data/test-sequence-4.txt, data/pictures/5.png, multi-hand-zoom,78727
dbarac, data/test-sequence-4.txt, data/pictures/6.png, multi-hand-zoom,86763
dbarac, data/test-sequence-4.txt, data/pictures/5.png, single-hand-zoom,83473
dbarac, data/test-sequence-4.txt, data/pictures/6.png, single-hand-zoom,72614
dbarac, data/test-sequence-4.txt, data/pictures/3.png, multi-hand-zoom,70549
dbarac, data/test-sequence-4.txt, data/pictures/4.png, multi-hand-zoom,53968
dbarac, data/test-sequence-4.txt, data/pictures/1.png, multi-hand-zoom,27494
dbarac, data/test-sequence-4.txt, data/pictures/2.png, multi-hand-zoom,28407
