username, test-sequence, test-image, modality, time-milliseconds
dbaricevic, data/test-sequence-6.txt, data/pictures/5.png, single-hand-zoom,121977
dbaricevic, data/test-sequence-6.txt, data/pictures/6.png, single-hand-zoom,106137
dbaricevic, data/test-sequence-6.txt, data/pictures/1.png, multi-hand-zoom,53613
dbaricevic, data/test-sequence-6.txt, data/pictures/2.png, multi-hand-zoom,43030
dbaricevic, data/test-sequence-6.txt, data/pictures/3.png, single-hand-zoom,86102
dbaricevic, data/test-sequence-6.txt, data/pictures/4.png, single-hand-zoom,72020
dbaricevic, data/test-sequence-6.txt, data/pictures/3.png, multi-hand-zoom,94560
dbaricevic, data/test-sequence-6.txt, data/pictures/4.png, multi-hand-zoom,68732
dbaricevic, data/test-sequence-6.txt, data/pictures/1.png, single-hand-zoom,41482
dbaricevic, data/test-sequence-6.txt, data/pictures/2.png, single-hand-zoom,36793
dbaricevic, data/test-sequence-6.txt, data/pictures/5.png, multi-hand-zoom,93596
dbaricevic, data/test-sequence-6.txt, data/pictures/6.png, multi-hand-zoom,94808
