username, test-sequence, test-image, modality, time-milliseconds
dsilic, data/test-sequence-4.txt, data/pictures/1.png, single-hand-zoom,59194
dsilic, data/test-sequence-4.txt, data/pictures/2.png, single-hand-zoom,31556
dsilic, data/test-sequence-4.txt, data/pictures/3.png, single-hand-zoom,51533
dsilic, data/test-sequence-4.txt, data/pictures/4.png, single-hand-zoom,49078
dsilic, data/test-sequence-4.txt, data/pictures/5.png, multi-hand-zoom,73231
dsilic, data/test-sequence-4.txt, data/pictures/6.png, multi-hand-zoom,64807
dsilic, data/test-sequence-4.txt, data/pictures/5.png, single-hand-zoom,61555
dsilic, data/test-sequence-4.txt, data/pictures/6.png, single-hand-zoom,61765
dsilic, data/test-sequence-4.txt, data/pictures/3.png, multi-hand-zoom,48702
dsilic, data/test-sequence-4.txt, data/pictures/4.png, multi-hand-zoom,50964
dsilic, data/test-sequence-4.txt, data/pictures/1.png, multi-hand-zoom,29649
dsilic, data/test-sequence-4.txt, data/pictures/2.png, multi-hand-zoom,26018
