username, test-sequence, test-image, modality, time-milliseconds
fgrgur, data/test-sequence-6.txt, data/pictures/5.png, single-hand-zoom,54420
fgrgur, data/test-sequence-6.txt, data/pictures/6.png, single-hand-zoom,51296
fgrgur, data/test-sequence-6.txt, data/pictures/1.png, multi-hand-zoom,31110
fgrgur, data/test-sequence-6.txt, data/pictures/2.png, multi-hand-zoom,27801
fgrgur, data/test-sequence-6.txt, data/pictures/3.png, single-hand-zoom,37484
fgrgur, data/test-sequence-6.txt, data/pictures/4.png, single-hand-zoom,37045
fgrgur, data/test-sequence-6.txt, data/pictures/3.png, multi-hand-zoom,47733
fgrgur, data/test-sequence-6.txt, data/pictures/4.png, multi-hand-zoom,49034
fgrgur, data/test-sequence-6.txt, data/pictures/1.png, single-hand-zoom,21956
fgrgur, data/test-sequence-6.txt, data/pictures/2.png, single-hand-zoom,25051
fgrgur, data/test-sequence-6.txt, data/pictures/5.png, multi-hand-zoom,71554
fgrgur, data/test-sequence-6.txt, data/pictures/6.png, multi-hand-zoom,70342
