username, test-sequence, test-image, modality, time-milliseconds
fnikolaus, data/test-sequence-2.txt, data/pictures/3.png, multi-hand-zoom,106054
fnikolaus, data/test-sequence-2.txt, data/pictures/4.png, multi-hand-zoom,104413
fnikolaus, data/test-sequence-2.txt, data/pictures/5.png, multi-hand-zoom,115790
fnikolaus, data/test-sequence-2.txt, data/pictures/6.png, multi-hand-zoom,121348
fnikolaus, data/test-sequence-2.txt, data/pictures/1.png, multi-hand-zoom,87274
fnikolaus, data/test-sequence-2.txt, data/pictures/2.png, multi-hand-zoom,64115
fnikolaus, data/test-sequence-2.txt, data/pictures/1.png, single-hand-zoom,47472
fnikolaus, data/test-sequence-2.txt, data/pictures/2.png, single-hand-zoom,42407
fnikolaus, data/test-sequence-2.txt, data/pictures/5.png, single-hand-zoom,105624
fnikolaus, data/test-sequence-2.txt, data/pictures/6.png, single-hand-zoom,111809
fnikolaus, data/test-sequence-2.txt, data/pictures/3.png, single-hand-zoom,99715
fnikolaus, data/test-sequence-2.txt, data/pictures/4.png, single-hand-zoom,67144
