username, test-sequence, test-image, modality, time-milliseconds
gdiklic, data/test-sequence-3.txt, data/pictures/5.png, multi-hand-zoom,89360
gdiklic, data/test-sequence-3.txt, data/pictures/6.png, multi-hand-zoom,93424
gdiklic, data/test-sequence-3.txt, data/pictures/1.png, single-hand-zoom,39537
gdiklic, data/test-sequence-3.txt, data/pictures/2.png, single-hand-zoom,44186
gdiklic, data/test-sequence-3.txt, data/pictures/3.png, multi-hand-zoom,68225
gdiklic, data/test-sequence-3.txt, data/pictures/4.png, multi-hand-zoom,64770
gdiklic, data/test-sequence-3.txt, data/pictures/3.png, single-hand-zoom,45604
gdiklic, data/test-sequence-3.txt, data/pictures/4.png, single-hand-zoom,44717
gdiklic, data/test-sequence-3.txt, data/pictures/1.png, multi-hand-zoom,31200
gdiklic, data/test-sequence-3.txt, data/pictures/2.png, multi-hand-zoom,32465
gdiklic, data/test-sequence-3.txt, data/pictures/5.png, single-hand-zoom,68079
gdiklic, data/test-sequence-3.txt, data/pictures/6.png, single-hand-zoom,63522
