username, test-sequence, test-image, modality, time-milliseconds
lzuzic, data/test-sequence-6.txt, data/pictures/5.png, single-hand-zoom,180545
lzuzic, data/test-sequence-6.txt, data/pictures/6.png, single-hand-zoom,139206
lzuzic, data/test-sequence-6.txt, data/pictures/1.png, multi-hand-zoom,75128
lzuzic, data/test-sequence-6.txt, data/pictures/2.png, multi-hand-zoom,49979
lzuzic, data/test-sequence-6.txt, data/pictures/3.png, single-hand-zoom,93364
lzuzic, data/test-sequence-6.txt, data/pictures/4.png, single-hand-zoom,81447
lzuzic, data/test-sequence-6.txt, data/pictures/3.png, multi-hand-zoom,96792
lzuzic, data/test-sequence-6.txt, data/pictures/4.png, multi-hand-zoom,120554
lzuzic, data/test-sequence-6.txt, data/pictures/1.png, single-hand-zoom,48223
lzuzic, data/test-sequence-6.txt, data/pictures/2.png, single-hand-zoom,40383
lzuzic, data/test-sequence-6.txt, data/pictures/5.png, multi-hand-zoom,103761
lzuzic, data/test-sequence-6.txt, data/pictures/6.png, multi-hand-zoom,100780
