username, test-sequence, test-image, modality, time-milliseconds
msindija, data/test-sequence-4.txt, data/pictures/1.png, single-hand-zoom,49507
msindija, data/test-sequence-4.txt, data/pictures/2.png, single-hand-zoom,37490
msindija, data/test-sequence-4.txt, data/pictures/3.png, single-hand-zoom,53873
msindija, data/test-sequence-4.txt, data/pictures/4.png, single-hand-zoom,45048
msindija, data/test-sequence-4.txt, data/pictures/5.png, multi-hand-zoom,74352
msindija, data/test-sequence-4.txt, data/pictures/6.png, multi-hand-zoom,75592
msindija, data/test-sequence-4.txt, data/pictures/5.png, single-hand-zoom,69145
msindija, data/test-sequence-4.txt, data/pictures/6.png, single-hand-zoom,68240
msindija, data/test-sequence-4.txt, data/pictures/3.png, multi-hand-zoom,52499
msindija, data/test-sequence-4.txt, data/pictures/4.png, multi-hand-zoom,51656
msindija, data/test-sequence-4.txt, data/pictures/1.png, multi-hand-zoom,23922
msindija, data/test-sequence-4.txt, data/pictures/2.png, multi-hand-zoom,31627
