username, test-sequence, test-image, modality, time-milliseconds
plicul, data/test-sequence-1.txt, data/pictures/1.png, multi-hand-zoom,39648
plicul, data/test-sequence-1.txt, data/pictures/2.png, multi-hand-zoom,30834
plicul, data/test-sequence-1.txt, data/pictures/3.png, multi-hand-zoom,71673
plicul, data/test-sequence-1.txt, data/pictures/4.png, multi-hand-zoom,73155
plicul, data/test-sequence-1.txt, data/pictures/5.png, single-hand-zoom,85148
plicul, data/test-sequence-1.txt, data/pictures/6.png, single-hand-zoom,59727
plicul, data/test-sequence-1.txt, data/pictures/5.png, multi-hand-zoom,85575
plicul, data/test-sequence-1.txt, data/pictures/6.png, multi-hand-zoom,89429
plicul, data/test-sequence-1.txt, data/pictures/3.png, single-hand-zoom,59161
plicul, data/test-sequence-1.txt, data/pictures/4.png, single-hand-zoom,50199
plicul, data/test-sequence-1.txt, data/pictures/1.png, single-hand-zoom,35687
plicul, data/test-sequence-1.txt, data/pictures/2.png, single-hand-zoom,31136
