username, test-sequence, test-image, modality, time-milliseconds
rstrbac, data/test-sequence-5.txt, data/pictures/3.png, single-hand-zoom,71400
rstrbac, data/test-sequence-5.txt, data/pictures/4.png, single-hand-zoom,78995
rstrbac, data/test-sequence-5.txt, data/pictures/5.png, single-hand-zoom,89315
rstrbac, data/test-sequence-5.txt, data/pictures/6.png, single-hand-zoom,82155
rstrbac, data/test-sequence-5.txt, data/pictures/1.png, single-hand-zoom,38102
rstrbac, data/test-sequence-5.txt, data/pictures/2.png, single-hand-zoom,46527
rstrbac, data/test-sequence-5.txt, data/pictures/1.png, multi-hand-zoom,34946
rstrbac, data/test-sequence-5.txt, data/pictures/2.png, multi-hand-zoom,39860
rstrbac, data/test-sequence-5.txt, data/pictures/5.png, multi-hand-zoom,92395
rstrbac, data/test-sequence-5.txt, data/pictures/6.png, multi-hand-zoom,78180
rstrbac, data/test-sequence-5.txt, data/pictures/3.png, multi-hand-zoom,55831
rstrbac, data/test-sequence-5.txt, data/pictures/4.png, multi-hand-zoom,52871
