username, test-sequence, test-image, modality, time-milliseconds
sboca, data/test-sequence-5.txt, data/pictures/3.png, single-hand-zoom,67384
sboca, data/test-sequence-5.txt, data/pictures/4.png, single-hand-zoom,61604
sboca, data/test-sequence-5.txt, data/pictures/5.png, single-hand-zoom,74526
sboca, data/test-sequence-5.txt, data/pictures/6.png, single-hand-zoom,79293
sboca, data/test-sequence-5.txt, data/pictures/1.png, single-hand-zoom,32949
sboca, data/test-sequence-5.txt, data/pictures/2.png, single-hand-zoom,28107
sboca, data/test-sequence-5.txt, data/pictures/1.png, multi-hand-zoom,47642
sboca, data/test-sequence-5.txt, data/pictures/2.png, multi-hand-zoom,35930
sboca, data/test-sequence-5.txt, data/pictures/5.png, multi-hand-zoom,75886
sboca, data/test-sequence-5.txt, data/pictures/6.png, multi-hand-zoom,76636
sboca, data/test-sequence-5.txt, data/pictures/3.png, multi-hand-zoom,60027
sboca, data/test-sequence-5.txt, data/pictures/4.png, multi-hand-zoom,52615
