username, test-sequence, test-image, modality, time-milliseconds
sljubic, data/test-sequence-4.txt, data/pictures/1.png, single-hand-zoom,54662
sljubic, data/test-sequence-4.txt, data/pictures/2.png, single-hand-zoom,37773
sljubic, data/test-sequence-4.txt, data/pictures/3.png, single-hand-zoom,63742
sljubic, data/test-sequence-4.txt, data/pictures/4.png, single-hand-zoom,79727
sljubic, data/test-sequence-4.txt, data/pictures/5.png, multi-hand-zoom,79727
sljubic, data/test-sequence-4.txt, data/pictures/6.png, multi-hand-zoom,81424
sljubic, data/test-sequence-4.txt, data/pictures/5.png, single-hand-zoom,64767
sljubic, data/test-sequence-4.txt, data/pictures/6.png, single-hand-zoom,63449
sljubic, data/test-sequence-4.txt, data/pictures/3.png, multi-hand-zoom,143539
sljubic, data/test-sequence-4.txt, data/pictures/4.png, multi-hand-zoom,54175
sljubic, data/test-sequence-4.txt, data/pictures/1.png, multi-hand-zoom,31832
sljubic, data/test-sequence-4.txt, data/pictures/2.png, multi-hand-zoom,35641
