username, test-sequence, test-image, modality, time-milliseconds
tmarijanovic, data/test-sequence-2.txt, data/pictures/3.png, multi-hand-zoom,55183
tmarijanovic, data/test-sequence-2.txt, data/pictures/4.png, multi-hand-zoom,86458
tmarijanovic, data/test-sequence-2.txt, data/pictures/5.png, multi-hand-zoom,75871
tmarijanovic, data/test-sequence-2.txt, data/pictures/6.png, multi-hand-zoom,74872
tmarijanovic, data/test-sequence-2.txt, data/pictures/1.png, multi-hand-zoom,35586
tmarijanovic, data/test-sequence-2.txt, data/pictures/2.png, multi-hand-zoom,36477
tmarijanovic, data/test-sequence-2.txt, data/pictures/1.png, single-hand-zoom,26372
tmarijanovic, data/test-sequence-2.txt, data/pictures/2.png, single-hand-zoom,31096
tmarijanovic, data/test-sequence-2.txt, data/pictures/5.png, single-hand-zoom,66936
tmarijanovic, data/test-sequence-2.txt, data/pictures/6.png, single-hand-zoom,56512
tmarijanovic, data/test-sequence-2.txt, data/pictures/3.png, single-hand-zoom,41000
tmarijanovic, data/test-sequence-2.txt, data/pictures/4.png, single-hand-zoom,44277
