username, test-sequence, test-image, modality, time-milliseconds
vsalamon, data/test-sequence-3.txt, data/pictures/5.png, multi-hand-zoom,109856
vsalamon, data/test-sequence-3.txt, data/pictures/6.png, multi-hand-zoom,121309
vsalamon, data/test-sequence-3.txt, data/pictures/1.png, single-hand-zoom,33361
vsalamon, data/test-sequence-3.txt, data/pictures/2.png, single-hand-zoom,42525
vsalamon, data/test-sequence-3.txt, data/pictures/3.png, multi-hand-zoom,55339
vsalamon, data/test-sequence-3.txt, data/pictures/4.png, multi-hand-zoom,81359
vsalamon, data/test-sequence-3.txt, data/pictures/3.png, single-hand-zoom,59989
vsalamon, data/test-sequence-3.txt, data/pictures/4.png, single-hand-zoom,58896
vsalamon, data/test-sequence-3.txt, data/pictures/1.png, multi-hand-zoom,43748
vsalamon, data/test-sequence-3.txt, data/pictures/2.png, multi-hand-zoom,36555
vsalamon, data/test-sequence-3.txt, data/pictures/5.png, single-hand-zoom,95550
vsalamon, data/test-sequence-3.txt, data/pictures/6.png, single-hand-zoom,80649
